"Timestamp","How are you related to the I-CISK project?","Have you heard of or seen uncertainty information in climate forecasts before this survey?","How often do you use digital maps?","What do you think is the minimum temperature in the left encircled area? Please provide an estimate. 

Minimum temperature in °C:","What do you think is the maximum temperature in the left encircled area? Please provide an estimate. 

Maximum temperature in °C:","How certain is it that the mean temperature at the left encircled area will reach a temperature above 25 °C?","Is it more likely that the temperature at the left encircled area or the right encircled area will be below 23 °C?","What do you think is the minimum temperature in the left encircled area? Please provide an estimate. 

Minimum temperature in °C:","What do you think is the maximum temperature in the left encircled area? Please provide an estimate. 

Maximum temperature in °C:","How certain is it that the mean temperature at the left encircled area will reach a temperature above 25 °C?","Is it more likely that the temperature at the left encircled area or the right encircled area will be below 23 °C?","What do you think is the minimum temperature in the left encircled area? Please provide an estimate. 

Minimum temperature in °C:","What do you think is the maximum temperature in the left encircled area? Please provide an estimate. 

Maximum temperature in °C:","How certain is it that the mean temperature at the left encircled area will reach a temperature above 25 °C?","Is it more likely that the temperature at the left encircled area or the right encircled area will be below 23 °C?","What do you think is the minimum temperature in the left encircled area? Please provide an estimate. 

Minimum temperature in °C:","What do you think is the maximum temperature in the left encircled area? Please provide an estimate. 

Maximum temperature in °C:","How certain is it that the mean temperature at the left encircled area will reach a temperature above 25 °C?","Is it more likely that the temperature at the left encircled area or the right encircled area will be below 23 °C?","Which map did you find the most intuitive to understand?","Which map did you like best?","Imagine you would decide which uncertainty maps are incorporated into a climate service application. Is there any combination of maps 1-4 that you would find helpful? If so, please tick the boxes of the maps that you would think would be helpful together. ","What additional information or features would you like to see in map uncertainty visualizations in relation to climate information to make them more helpful for your understanding?","Please share any additional comments you may have about the visualizations. Feel free to describe things you liked, did not like, or things you missed."
"2023/11/29 9:50:25 AM GMT+1","I am a project partner","I understand it to some extent","Several times a month","23","27","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","21","25","It’s not possible to derive that from this map","The left encircled area is more likely to reach a temperature below 23 °C than the right encircled area..","21","26","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","21","25","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","Map 1","Map 1","Map 1;Map 3;I would use the layout from map one, while reordering them from the least warming to the most warming and put them on a scale with an estimation of likelihood (so instead of 1, 2 , 3 .... very unlikely, likely, most likely, likely, very unlikely). This way one can scroll through them and have a sense of them. Also, it should automatically display them on the most likely scenario, and it should be up to the user to decide to explore above and below average T scenario","","You need to keep in mind who the user is. Why do they need the service? Why do they need uncertainty? There is no single best way to do this. The type of information displayed must fit the user's needs, and the user's might have very different backgrounds (especially form you). For example, who would use a map of Andalucia like this one? A farmer with a few hectares of peach orchards might want to know if the temperature is increasing in their area, and roughly how likely that is (so maybe three to five scenarios, one being the most likely and the others being above and below average around 1 st.dev). While an insurance company working with hundreds of farmers might actually care about the minutia of the uncertainties since they might want to run a risk assessment of their various options.

Anyway, you are doing a great job! It will make for a great master thesis! However, remember that the ultimate goals are for the information to be used in a way that facilitates the user's adaptive decision making. "
"2023/11/30 1:45:12 PM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Daily","23","27","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","24","26","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","24","27","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","22","25","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","Map 3","Map 3","Map 2;Map 3","",""
"2023/11/30 4:45:49 PM GMT+1","I am a project partner","I understand it to some extent","Several times a week","22","26","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","23","27","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","22","25","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","22","24","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","Map 3","Map 2","Map 2;Map 3","What I would like to see is to be able to click on a certain point, and get the specific temperature/deviation/etc. Right now the specific value is a guess based on the color spectrum.","I really liked the projection and possible deviation of map 2, but I think its difficult to say whether the deviation is e.g. 1.5C or 2.5C in a specific area because there is not much color difference."
"2023/12/01 11:32:10 AM GMT+1","Not related, I am just interested in the survey","I have heard of uncertainty information, but not seen it in forecasts","Daily","22","27","Somewhat certain","The left encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","22","24","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","23","26","It’s not possible to derive that from this map","It’s not possible to derive that from this map","21","24","I’m not sure","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","Map 2","Map 2","Map 2;Map 3","",""
"2023/12/04 10:52:05 AM GMT+1","I am a project partner","I understand it to some extent","Several times a week","21","27","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","24","26","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","21","26","It’s not possible to derive that from this map","It’s not possible to derive that from this map","23","24.3","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the right encircled area.","Map 2","Map 2","Map 2;Map 3","- Map 1: are these all possible outcomes of the projection or is it only a selection?
- Map 2: Might be helpful to add information for more expert uses how this 'deviation' on the right is estimated. Is this the standard deviation?
- Map 3: Maybe instead of showing the 'highest' and 'lowest' possible solution it would be more informative to show the 10% and 90% percentile here? ","- The map is only showing the absolute deviations of the temperature. It would be nice to see the positive and negative deviations.
- Is it possible to show the colours in the legend with the same transparency as the colours in the map? It might be easier to estimate which colour is used then. "
"2023/12/04 12:27:22 PM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Daily","23","26","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","26","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","26","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 2","Map 2","",""
"2023/12/05 6:44:53 PM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Several times a week","22","23","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","25","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","26","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24","Somewhat uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 1","Map 3","Map 1;Map 3","A little more contrast between the colours of the highest temperature/lowest temperature","I needed a little more direction about how to use the 2 maps in one layout."
"2023/12/05 7:30:10 PM GMT+1","Not related, I am just interested in the survey","I understand it to some extent","Several times a month","23","27","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","27","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","27","It’s not possible to derive that from this map","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","25","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 1","Map 1;Map 3","","I really like Map 1 but I would like it even better if the animation would be a bit slower so I could process the information better. "
"2023/12/05 10:36:35 PM GMT+1","Not related, I am just interested in the survey","I have heard of uncertainty information, but not seen it in forecasts","Once a month or less","21","21","Very certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","26","Very certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","22","26","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","Map 3","Map 3","Map 2;Map 3","I would give it a try to connect locations of same temperatures (and uncertainties) with a line = Isothermes (like Isobares in weather charts, but here for temperature).","Map 1 shows development of temperature vs time but not the uncertainty (my understanding).
A bigger variaty in colours in Map 2, Map 3 and Map 4 would simplify quick recognition of uncertainty . 
Map 4: I could not really catch the meaning of ""giving each dot a value based on how confident we are in our estimate or its frequency in that area"". How can one pixel show confidence and frequency of a temperature?"
"2023/12/06 2:28:16 PM GMT+1","Not related, I am just interested in the survey","I have heard of it, but do not understand it","Never","23","26","Somewhat certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","24","26","Neither uncertain nor certain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23","24","Very uncertain","The right encircled area is more likely to reach a temperature below 23 °C than the left encircled area.","23.5","21.5","It’s not possible to derive that from this map","I’m not sure","Map 2","Map 2","Map 2;Map 4","","I like how map 4 gives a very detailed visualisation; because of the pixels it seemed easier to see the colour because you can compare colours within and around the cirkle and then guess how the pixels within the circle averageg out!"
